#CODEVALUEMODEL=CodeValueInail|CODESYSTEMID=INAIL|CODESYSTEMNAME=INAIL|CODESYSTEMDISPLAYNAME=INAIL|VERSION=0|DESCRIPTION=INAIL|LANGUAGE=it|AUTHORITYNAME=ITAL-TBS S.P.A.|AUTHORITYDESCRIPTION=ITAL-TBS S.P.A.|AUTHORITYCONTACTINFORMATION=info@italtbs.com|VALIDFROM=01/01/2007 00:00|||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
A_V0|ARTIGIANATO|ARTIGIANATO|ARTIGIANATO|T|0|1|8210||||||ARTIGIANATO|||01/01/2007 00:00|
A.0001_V0|A.0001_V0|A.0001_V0|ABBIGLIAMENTO|C|0|1|8220||||||ABBIGLIAMENTO|||01/01/2007 00:00|
A.0001.01_V0|A.0001.01_V0|A.0001.01_V0|confezione di articoli|C|0|1|8210||||||confezione di articoli|||01/01/2007 00:00|
A.0001.02_V0|A.0001.02_V0|A.0001.02_V0|articoli ottenuti mediante affidamento a terzi delle fasi di produzione|C|0|1|3110||||||articoli ottenuti mediante affidamento a terzi delle fasi di produzione|||01/01/2007 00:00|
A.0002_V0|A.0002_V0|A.0002_V0|ABITAZIONI|C|0|1|3120||||||ABITAZIONI|||01/01/2007 00:00|
A.0002.01_V0|A.0002.01_V0|A.0002.01_V0|costruzione|C|0|1|3140||||||costruzione|||01/01/2007 00:00|
A.0002.02_V0|A.0002.02_V0|A.0002.02_V0|prefabbricate|C|0|1|3140||||||prefabbricate|||01/01/2007 00:00|
A.0002.03_V0|A.0002.03_V0|A.0002.03_V0|opere di finitura interne alle -|C|0|1|3110||||||opere di finitura interne alle -|||01/01/2007 00:00|
A.0002.04_V0|A.0002.04_V0|A.0002.04_V0|decorazione di -|C|0|1|3140||||||decorazione di -|||01/01/2007 00:00|
A.0002.05_V0|A.0002.05_V0|A.0002.05_V0|coperture|C|0|1|3630||||||coperture|||01/01/2007 00:00|
A.0002.06_V0|A.0002.06_V0|A.0002.06_V0|coperture prefabbricate|C|0|1|3630||||||coperture prefabbricate|||01/01/2007 00:00|
A.0002.07_V0|A.0002.07_V0|A.0002.07_V0|installazione o rimozione di ascensori e montacarichi nelle -|C|0|1|3140||||||installazione o rimozione di ascensori e montacarichi nelle -|||01/01/2007 00:00|
A.0002.08_V0|A.0002.08_V0|A.0002.08_V0|installazione di impianti per gas, acqua, elettricità, riscaldamento, ecc. nelle -|C|0|1|3140||||||installazione di impianti per gas, acqua, elettricità, riscaldamento, ecc. nelle -|||01/01/2007 00:00|
A.0002.09_V0|A.0002.09_V0|A.0002.09_V0|manti impermeabilizzanti nelle -|C|0|1|3110||||||manti impermeabilizzanti nelle -|||01/01/2007 00:00|
A.0002.10_V0|A.0002.10_V0|A.0002.10_V0|pavimentazioni nelle -|C|0|1|3140||||||pavimentazioni nelle -|||01/01/2007 00:00|
A.0002.11_V0|A.0002.11_V0|A.0002.11_V0|ristrutturazione di -|C|0|1|8210||||||ristrutturazione di -|||01/01/2007 00:00|
A.0003_V0|A.0003_V0|A.0003_V0|ABITI|S|0|1|||||||ABITI|||01/01/2007 00:00|
A.0003.01_V0|A.0003.01_V0|A.0003.01_V0|confezione con tessuti, pelli e simili|C|0|1|8210||||||confezione con tessuti, pelli e simili|||01/01/2007 00:00|
A.0004_V0|A.0004_V0|A.0004_V0|ABRASIVI|C|0|1|2184||||||ABRASIVI|||01/01/2007 00:00|
A.0004.01_V0|A.0004.01_V0|A.0004.01_V0|abrasivi sintetici:|C|0|1|2111||||||abrasivi sintetici:|||01/01/2007 00:00|
A.0004.02.01_V0|A.0004.02.01_V0|A.0004.02.01_V0| - carborundum (carburo di silicio) e simili|C|0|1|7274|||||| - carborundum (carburo di silicio) e simili|||01/01/2007 00:00|
A.0004.03.02_V0|A.0004.03.02_V0|A.0004.03.02_V0| - corundum (sesquiossido di alluminio) e simili|C|0|1|7274|||||| - corundum (sesquiossido di alluminio) e simili|||01/01/2007 00:00|
A.0004.04_V0|A.0004.04_V0|A.0004.04_V0|flessibili (tele, nastri, carte)|C|0|1|6122||||||flessibili (tele, nastri, carte)|||01/01/2007 00:00|
A.0004.05_V0|A.0004.05_V0|A.0004.05_V0|paste abrasive|C|0|1|7274||||||paste abrasive|||01/01/2007 00:00|
